,Year,Primary Enrollment,GDP
0,2001,2065348.0,1561.41003417969
1,2002,2047085.0,1660.47778320313
2,2003,1960512.0,1833.31384277344
3,2004,1850734.0,2065.16625976563
4,2005,1945715.0,2144.24780273438
5,2006,1753689.0,2322.24462890625
6,2007,1647847.0,2528.0810546875
7,2008,1573458.0,2598.8330078125
8,2009,1531943.0,2215.27197265625
9,2010,1540282.0,2315.09985351563
10,2011,1563396.0,2449.95776367188
11,2012,1584382.0,2459.7568359375
12,2013,1638497.0,2466.48413085938
13,2014,1685030.0,2346.23706054688
14,2015,1536578.0,2124.66235351563
15,2016,1599250.0,2185.31713867188
16,2017,1644263.0,2246.73852539063
17,2018,1676550.0,2336.97631835938
18,2019,1724664.0,2425.63452148438
19,2020,1724705.0,2350.39990234375
